Name	Source	ID	Link	Creators	Tags	Creation time	Update time	Latest version	Versions	Number of steps	Tools	EDAM operations	EDAM topics	License	DOI	Projects	Filtered on	To keep
qiime2-II-denoising/IIa-denoising-se	WorkflowHub	892	https:/workflowhub.eu/workflows/892?version=3	Debjyoti Ghosh		2024-11-27	2025-08-18	3	3	4	qiime2__feature_table__summarize, qiime2__feature_table__tabulate_seqs, qiime2__metadata__tabulate, qiime2__dada2__denoise_single			MIT		Intergalactic Workflow Commission (IWC)	amplicon in description	True
clinicalmp-data-interpretation/main	WorkflowHub	1219	https:/workflowhub.eu/workflows/1219?version=1	GalaxyP		2024-11-26	2025-08-18	1	1	6	msstatstmt, unipept, Grep1			CC-BY-4.0		Intergalactic Workflow Commission (IWC)	annot* in description	True
clinicalmp-verification/main	WorkflowHub	1218	https:/workflowhub.eu/workflows/1218?version=1	Pratik Jagtap		2024-11-26	2025-08-18	1	1	19	dbbuilder, uniprotxml_downloader, query_tabular, Cut1, Filter1, Remove beginning1, Grouping1, collapse_dataset, pepquery2, tp_cat, fasta_merge_files_and_filter_unique_sequences			CC-BY-4.0		Intergalactic Workflow Commission (IWC)	metap* in description	True
clinicalmp-database-generation/main	WorkflowHub	1216	https:/workflowhub.eu/workflows/1216?version=1	Subina Mehta		2024-11-23	2025-08-18	1	1	3	metanovo, fasta_merge_files_and_filter_unique_sequences			CC-BY-4.0		Intergalactic Workflow Commission (IWC)	metap* in description	True
clinicalmp-discovery/main	WorkflowHub	1225	https:/workflowhub.eu/workflows/1225?version=1	Subina Mehta		2024-12-10	2025-08-18	1	1	24	fasta_merge_files_and_filter_unique_sequences, filter_tabular, search_gui, query_tabular, Grep1, maxquant, Cut1, peptide_shaker, Filter1, Remove beginning1, Grouping1, msconvert, tp_cat, ident_params, fasta_cli, fasta2tab, dbbuilder			CC-BY-4.0		Intergalactic Workflow Commission (IWC)	metap* in description	True
nanopore-pre-processing/main	WorkflowHub	1061	https:/workflowhub.eu/workflows/1061?version=1	Bérénice Batut, Engy Nasr, Paul Zierep		2024-06-26	2025-08-18	1	1	25	nanoplot, fastp, Add_a_column1, regexColumn1, krakentools_extract_kraken_reads, fastqc, minimap2, porechop, Cut1, collection_column_join, samtools_fastx, kraken2, collapse_dataset, __FILTER_FAILED_DATASETS__, bamtools_split_mapped, Grep1, multiqc			MIT	10.48546/workflowhub.workflow.1061.1	Intergalactic Workflow Commission (IWC)	microbiome in description	True
clinicalmp-quantitation/main	WorkflowHub	1177	https:/workflowhub.eu/workflows/1177?version=1	GalaxyP		2024-10-07	2025-08-18	1	1	7	"extract peptides
Cut1, maxquant, extracting microbial Peptides
Grep1, extracting microbial Proteins
Grep1, Quantified-Proteins
Grouping1, extract proteins
Cut1, Quantified-Peptides
Grouping1"			CC-BY-4.0		Intergalactic Workflow Commission (IWC)	metap* in description	True
generic-variant-calling-wgs-pe/main	WorkflowHub	357	https:/workflowhub.eu/workflows/357?version=1	Anton Nekrutenko	generic, mpxv	2022-06-04	2025-08-18	1	1	12	fastp, samtools_stats, samtools_view, lofreq_filter, snpEff, lofreq_viterbi, snpEff_build_gb, lofreq_call, picard_MarkDuplicates, lofreq_indelqual, bwa_mem, multiqc			MIT		Intergalactic Workflow Commission (IWC)	annot* in description	True
baredsc/baredSC-1d-logNorm	WorkflowHub	615	https:/workflowhub.eu/workflows/615?version=6	Lucille Delisle		2025-03-26	2025-08-18	6	6	3	, baredsc_1d, baredsc_combine_1d			MIT		Intergalactic Workflow Commission (IWC)	binn* in description	True
openms-metaprosip/main	WorkflowHub	613	https:/workflowhub.eu/workflows/613?version=2	Matthias Bernt		2024-06-22	2025-08-18	2	2	8	PeptideIndexer, DecoyDatabase, FeatureFinderMultiplex, IDMapper, FalseDiscoveryRate, MetaProSIP, __SORTLIST__, MSGFPlusAdapter			MIT		Intergalactic Workflow Commission (IWC)	metap* in name	True
consensus-peaks/consensus-peaks-chip-sr	WorkflowHub	561	https:/workflowhub.eu/workflows/561?version=11	Lucille Delisle	chip	2025-02-07	2025-08-18	11	11	17	__EXTRACT_DATASET__, deeptools_bigwig_average, samtools_view, bedtools_intersectbed, wig_to_bigWig, macs2_callpeak, Cut1, Filter1, table_compute, collapse_dataset, param_value_from_file, multiqc, tp_sorted_uniq			MIT		Intergalactic Workflow Commission (IWC)	binn* in description	True
amr_gene_detection/main	WorkflowHub	1049	https:/workflowhub.eu/workflows/1049?version=8	ABRomics None, Pierre Marin, Clea Siguret	abromics, amr, amr-detection, genomics, antibiotic-resistance, antimicrobial resistance, antimicrobial-resistance-genes, bacterial-genomics, fasta	2025-09-18	2025-09-18	8	8	5	tooldistillator, abricate, amrfinderplus, tooldistillator_summarize, staramr_search			GPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	antimicrobial in tags	True
bacterial_genome_annotation/main	WorkflowHub	1050	https:/workflowhub.eu/workflows/1050?version=12	ABRomics None, Pierre Marin, Clea Siguret	abromics, annotation, genomics, bacterial-genomics, fasta, genome-annotation	2025-07-31	2025-08-18	12	12	6	tooldistillator, isescan, bakta, integron_finder, plasmidfinder, tooldistillator_summarize			GPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	annot* in tags	True
brew3r/main	WorkflowHub	1051	https:/workflowhub.eu/workflows/1051?version=2	Lucille Delisle		2024-10-10	2025-08-18	2	2	5	map_param_value, stringtie_merge, stringtie, brew3r_r			GPL-3.0-or-later		Intergalactic Workflow Commission (IWC)	annot* in description	True
taxonomy-profiling-and-visualization-with-krona/main	WorkflowHub	1059	https:/workflowhub.eu/workflows/1059?version=1	Engy Nasr, Bérénice Batut, Paul Zierep		2024-06-26	2025-08-18	1	1	3	taxonomy_krona_chart, kraken2, krakentools_kreport2krona			MIT	10.48546/workflowhub.workflow.1059.1	Intergalactic Workflow Commission (IWC)	profil* in name	True
pseudobulk-worflow-decoupler-edger/main	WorkflowHub	1207	https:/workflowhub.eu/workflows/1207?version=2	Diana Chiang Jurado, Pavankumar Videm, Pablo Moreno		2024-11-22	2025-08-18	2	2	13	column_remove_by_header, tp_replace_in_line, tp_awk_tool, edger, volcanoplot, tp_replace_in_column, collection_element_identifiers, decoupler_pseudobulk, param_value_from_file, split_file_to_collection			CC-BY-4.0		Intergalactic Workflow Commission (IWC)	annot* in description	True
sars-cov-2-pe-illumina-artic-variant-calling/COVID-19-PE-ARTIC-ILLUMINA	WorkflowHub	110	https:/workflowhub.eu/workflows/110?version=11	Wolfgang Maier	artic, by-covid, covid-19, covid19.galaxyproject.org	2025-03-26	2025-08-18	11	11	25	"snpSift_filter, vcfvcfintersect, qualimap_bamqc, lofreq_viterbi, bwa_mem, fastp, samtools_stats, ivar_trim, 
 __FILTER_FAILED_DATASETS__, lofreq_indelqual, multiqc, lofreq_filter, 
 __FLATTEN__, compose_text_param, bcftools_annotate, samtools_view, tp_replace_in_line, snpeff_sars_cov_2, lofreq_call, ivar_removereads"			MIT		Intergalactic Workflow Commission (IWC)	binn* in description	True
kmer-profiling-hifi-VGP1/main	WorkflowHub	632	https:/workflowhub.eu/workflows/632?version=13	VGP,  Galaxy		2025-10-31	2025-10-31	13	13	17	, compose_text_param, meryl_count_kmers, imagemagick_image_montage, genomescope, rdeval, meryl_groups_kmers, meryl_histogram_kmers, rdeval_report, param_value_from_file			CC-BY-4.0		Intergalactic Workflow Commission (IWC)	profil* in name	True
pox-virus-amplicon/main	WorkflowHub	439	https:/workflowhub.eu/workflows/439?version=4	Viktoria Isabel Schwarz, Wolfgang Maier	virology, pox	2025-10-11	2025-10-11	4	4	40	"qualimap_bamqc, bwa_mem, split_file_to_collection, fasta_compute_length, fastp, samtools_stats, samtools_merge, datamash_ops, ivar_trim, 
 __FILTER_FAILED_DATASETS__, multiqc, 
 Cut1, tp_sed_tool, 
 Grep1, collection_element_identifiers, ivar_consensus, tp_cat, 
 __FLATTEN__, 
 __ZIP_COLLECTION__, compose_text_param, samtools_view, 
 __SORTLIST__, EMBOSS: maskseq51, 
 __APPLY_RULES__, 
 param_value_from_file"			MIT		Intergalactic Workflow Commission (IWC)	amplicon in name	True
sars-cov-2-pe-illumina-wgs-variant-calling/COVID-19-PE-WGS-ILLUMINA	WorkflowHub	113	https:/workflowhub.eu/workflows/113?version=4	Wolfgang Maier	virology, covid-19, covid19.galaxyproject.org, emergen_validated	2021-12-21	2025-08-19	4	4	11	fastp, samtools_stats, samtools_view, lofreq_filter, snpeff_sars_cov_2, lofreq_viterbi, lofreq_call, picard_MarkDuplicates, lofreq_indelqual, bwa_mem, multiqc			MIT		Intergalactic Workflow Commission (IWC)	annot* in description	True
taxonomic-rank-abundance-summary-table/main	WorkflowHub	1296	https:/workflowhub.eu/workflows/1296?version=2	Rand Zoabi		2025-03-26	2025-08-18	2	2	8	tp_awk_tool, filter_tabular, collection_column_join, Grouping1, map_param_value			MIT		Intergalactic Workflow Commission (IWC)	OTU in description	True
Assembly-Hifi-only-VGP3/main	WorkflowHub	612	https:/workflowhub.eu/workflows/612?version=25	Galaxy,  VGP		2025-10-01	2025-10-01	25	25	45	, Add_a_column1, tp_grep_tool, Cut1, gfastats, join1, param_value_from_file, tp_cut_tool, pick_value, busco, tp_awk_tool, merqury, multiqc, tp_find_and_replace, __EXTRACT_DATASET__, cutadapt, compose_text_param, tp_replace_in_line, compleasm, Convert characters1, bandage_image, hifiasm			CC-BY-4.0		Intergalactic Workflow Commission (IWC)	profil* in description	True
Assembly-Hifi-Trio-phasing-VGP5/main	WorkflowHub	642	https:/workflowhub.eu/workflows/642?version=25	Galaxy,  VGP		2025-10-01	2025-10-01	25	25	47	, Add_a_column1, tp_grep_tool, Cut1, gfastats, join1, param_value_from_file, tp_cut_tool, pick_value, busco, tp_awk_tool, merqury, multiqc, tp_find_and_replace, __EXTRACT_DATASET__, cutadapt, compose_text_param, tp_replace_in_line, compleasm, Convert characters1, bandage_image, hifiasm			CC-BY-4.0		Intergalactic Workflow Commission (IWC)	profil* in description	True
tissue-microarray-analysis/main	WorkflowHub	1337	https:/workflowhub.eu/workflows/1337?version=2	Cameron Watson		2025-06-22	2025-08-18	2	2	10	basic_illumination, unet_coreograph, scimap_mcmicro_to_anndata, ip_convertimage, vitessce_spatial, scimap_phenotyping, mesmer, rename_tiff_channels, ashlar, quantification			MIT		Intergalactic Workflow Commission (IWC)	binn* in description	True
Assembly-Hifi-HiC-phasing-VGP4/main	WorkflowHub	641	https:/workflowhub.eu/workflows/641?version=31	Delphine Lariviere	reviewed, vgp	2025-10-08	2025-10-08	31	31	32	, cutadapt, tp_replace_in_line, tp_awk_tool, Add_a_column1, tp_grep_tool, Convert characters1, Cut1, gfastats, tp_sed_tool, bandage_image, merqury, Paste1, param_value_from_file, hifiasm, multiqc, busco			CC-BY-4.0		Intergalactic Workflow Commission (IWC)	profil* in description	True
lcms-preprocessing/main	WorkflowHub	677	https:/workflowhub.eu/workflows/677?version=2	workflow4metabolomics		2025-05-29	2025-08-18	2	2	12	msnbase_readmsdata, abims_xcms_xcmsSet, xcms_plot_chromatogram, abims_xcms_retcor, intens_check, abims_CAMERA_annotateDiffreport, checkFormat, abims_xcms_fillPeaks, xcms_merge, abims_xcms_group			MIT		Intergalactic Workflow Commission (IWC)	metap* in description	True
mapseq-to-ampvis2/main	WorkflowHub	1275	https:/workflowhub.eu/workflows/1275?version=2	Rand Zoabi, Mara Besemer		2025-03-26	2025-08-18	2	2	9	tp_awk_tool, query_tabular, ampvis2_load, collection_column_join, collapse_dataset			MIT		Intergalactic Workflow Commission (IWC)	metap* in description	True
mgnify-amplicon-pipeline-v5-its/main	WorkflowHub	1273	https:/workflowhub.eu/workflows/1273?version=2	Rand Zoabi, Paul Zierep		2025-03-26	2025-08-18	2	2	30	__FILTER_EMPTY_DATASETS__, , tp_awk_tool, biom_convert, bedtools_maskfastabed, collection_element_identifiers, taxonomy_krona_chart, mapseq, __FILTER_FROM_FILE__			Apache-2.0		Intergalactic Workflow Commission (IWC)	amplicon in name	True
mgnify-amplicon-pipeline-v5-quality-control-paired-end/main	WorkflowHub	1272	https:/workflowhub.eu/workflows/1272?version=2	Rand Zoabi, Paul Zierep		2025-03-26	2025-08-18	2	2	17	__UNZIP_COLLECTION__, fastp, fastq_filter, fastqc, cshl_fasta_formatter, fastq_to_fasta_python, prinseq, tp_find_and_replace, mgnify_seqprep, trimmomatic, multiqc			Apache-2.0		Intergalactic Workflow Commission (IWC)	amplicon in name	True
mgnify-amplicon-pipeline-v5-quality-control-single-end/main	WorkflowHub	1271	https:/workflowhub.eu/workflows/1271?version=3	Rand Zoabi, Paul Zierep		2025-03-26	2025-08-18	3	3	14	fastq_filter, fastqc, cshl_fasta_formatter, fastq_to_fasta_python, prinseq, tp_find_and_replace, trimmomatic, multiqc			Apache-2.0		Intergalactic Workflow Commission (IWC)	amplicon in name	True
mgnify-amplicon-pipeline-v5-rrna-prediction/main	WorkflowHub	1270	https:/workflowhub.eu/workflows/1270?version=2	Rand Zoabi, Paul Zierep		2025-03-26	2025-08-18	2	2	47	__FILTER_EMPTY_DATASETS__, , bedtools_getfastabed, tp_awk_tool, query_tabular, biom_convert, infernal_cmsearch, cshl_fasta_formatter, gops_concat_1, collection_element_identifiers, taxonomy_krona_chart, cmsearch_deoverlap, mapseq, __FILTER_FROM_FILE__			Apache-2.0		Intergalactic Workflow Commission (IWC)	amplicon in name	True
mgnify-amplicon-taxonomic-summary-tables/main	WorkflowHub	1269	https:/workflowhub.eu/workflows/1269?version=2	Rand Zoabi		2025-03-26	2025-08-18	2	2	10	tp_awk_tool, filter_tabular, query_tabular, collection_column_join, Grouping1			MIT		Intergalactic Workflow Commission (IWC)	amplicon in name	True
mgnify-amplicon-pipeline-v5-complete/main	WorkflowHub	1274	https:/workflowhub.eu/workflows/1274?version=2	Rand Zoabi, Paul Zierep		2025-03-26	2025-08-18	2	2	20	, tp_awk_tool, CONVERTER_gz_to_uncompressed, CONVERTER_uncompressed_to_gz, __MERGE_COLLECTION__, fastq_dl			Apache-2.0		Intergalactic Workflow Commission (IWC)	amplicon in name	True
sars-cov-2-pe-illumina-artic-ivar-analysis/SARS-COV-2-ILLUMINA-AMPLICON-IVAR-PANGOLIN-NEXTCLADE	WorkflowHub	155	https:/workflowhub.eu/workflows/155?version=6	Peter van Heusden	virology	2025-07-31	2025-08-19	6	6	16	fastp, samtools_stats, samtools_view, snpeff_sars_cov_2, __FLATTEN__, qualimap_bamqc, tp_sed_tool, ivar_trim, pangolin, ivar_consensus, nextclade, ivar_variants, tp_cat, bwa_mem, multiqc			MIT		Intergalactic Workflow Commission (IWC)	amplicon in name	True
chipseq-pe/main	WorkflowHub	398	https:/workflowhub.eu/workflows/398?version=17	Lucille Delisle	chip-seq	2025-11-04	2025-11-04	17	17	7	cutadapt, wig_to_bigWig, tp_grep_tool, macs2_callpeak, bowtie2, samtool_filter2, multiqc			MIT		Intergalactic Workflow Commission (IWC)	binn* in description	True
sars-cov-2-ont-artic-variant-calling/COVID-19-ARTIC-ONT	WorkflowHub	111	https:/workflowhub.eu/workflows/111?version=5	Wolfgang Maier	artic, ont, covid-19, covid19.galaxyproject.org	2021-12-21	2025-08-19	5	5	22	"Add_a_column1, qualimap_bamqc, medaka_consensus, fastp, samtools_stats, bamleftalign, datamash_ops, ivar_trim, 
 __FILTER_FAILED_DATASETS__, multiqc, lofreq_filter, bedtools_intersectbed, minimap2, tp_find_and_replace, 
 __FLATTEN__, bcftools_annotate, samtools_view, snpeff_sars_cov_2, tp_replace_in_column, 
 param_value_from_file, medaka_variant"			MIT		Intergalactic Workflow Commission (IWC)	binn* in description	True
chipseq-sr/main	WorkflowHub	397	https:/workflowhub.eu/workflows/397?version=16	Lucille Delisle	chip-seq	2025-11-04	2025-11-04	16	16	7	cutadapt, wig_to_bigWig, tp_grep_tool, macs2_callpeak, bowtie2, samtool_filter2, multiqc			MIT		Intergalactic Workflow Commission (IWC)	binn* in description	True
gcms-metams/main	WorkflowHub	680	https:/workflowhub.eu/workflows/680?version=2	workflow4metabolomics		2025-05-20	2025-08-18	2	2	7	msnbase_readmsdata, abims_xcms_xcmsSet, xcms_plot_chromatogram, metams_runGC, checkFormat, Multivariate, xcms_merge			MIT		Intergalactic Workflow Commission (IWC)	metap* in name	True
allele-based-pathogen-identification/main	WorkflowHub	1063	https:/workflowhub.eu/workflows/1063?version=5	Engy Nasr, Bérénice Batut, Paul Zierep		2025-03-26	2025-08-18	5	5	23	snpSift_filter, regexColumn1, Count1, minimap2, Cut1, CONVERTER_gz_to_uncompressed, tp_head_tool, bcftools_norm, samtools_depth, samtools_coverage, Remove beginning1, table_compute, collapse_dataset, Paste1, clair3, tp_cut_tool, bcftools_consensus, snpSift_extractFields			MIT		Intergalactic Workflow Commission (IWC)	microbiome in description	True
mags-building/main	WorkflowHub	1352	https:/workflowhub.eu/workflows/1352?version=3	Bérénice Batut, Paul Zierep, Mina Hojat Ansari, Patrick Bühler, Santino Faack		2025-06-22	2025-08-18	3	3	36	__UNZIP_COLLECTION__, binette, megahit, samtools_sort, metabat2, __BUILD_LIST__, concoct_cut_up_fasta, pick_value, tp_awk_tool, metabat2_jgi_summarize_bam_contig_depths, __FLATTEN__, bakta, checkm_lineage_wf, gtdbtk_classify_wf, metaspades, Fasta_to_Contig2Bin, semibin, quast, multiqc, concoct, concoct_merge_cut_up_clustering, concoct_extract_fasta_bins, collection_column_join, bowtie2, checkm2, coverm_genome, concoct_coverage_table, maxbin2, drep_dereplicate, map_param_value			MIT		Intergalactic Workflow Commission (IWC)	mags in name	True
kmer-profiling-hifi-trio-VGP2/main	WorkflowHub	631	https:/workflowhub.eu/workflows/631?version=6	VGP,  Galaxy		2025-05-10	2025-08-18	6	6	11	meryl_count_kmers, genomescope, meryl_groups_kmers, meryl_histogram_kmers, pick_value, meryl			CC-BY-4.0		Intergalactic Workflow Commission (IWC)	profil* in name	True
annotation-maker/main	WorkflowHub	1323	https:/workflowhub.eu/workflows/1323?version=1	Romane Libouban		2025-03-26	2025-08-18	1	1	8	maker_map_ids, gffread, jcvi_gff_stats, jbrowse, maker, fasta-stats, busco			MIT	10.48546/workflowhub.workflow.1323.1	Intergalactic Workflow Commission (IWC), EuroScienceGateway	annot* in name	True
annotation-helixer/main	WorkflowHub	1255	https:/workflowhub.eu/workflows/1255?version=3	Romane Libouban		2025-07-19	2025-08-18	3	3	7	gffread, jcvi_gff_stats, omark, jbrowse, helixer, busco			MIT	10.48546/workflowhub.workflow.1255.3	Intergalactic Workflow Commission (IWC), EuroScienceGateway	annot* in name	True
repeatmasking/main	WorkflowHub	575	https:/workflowhub.eu/workflows/575?version=1	Romane Libouban		2023-09-22	2025-08-18	1	1	2	repeatmodeler, repeatmasker_wrapper			MIT	10.48546/workflowhub.workflow.575.1	Intergalactic Workflow Commission (IWC), EuroScienceGateway	annot* in description	True
functional-annotation-protein-sequences/main	WorkflowHub	1262	https:/workflowhub.eu/workflows/1262?version=1	Romane Libouban, Anthony Bretaudeau		2025-01-31	2025-08-18	1	1	2	eggnog_mapper, interproscan			MIT	10.48546/workflowhub.workflow.1262.1	Intergalactic Workflow Commission (IWC), EuroScienceGateway	annot* in name	True
lncRNAs-annotation/main	WorkflowHub	1324	https:/workflowhub.eu/workflows/1324?version=1	Romane Libouban		2025-03-26	2025-08-18	1	1	5	"gffread, stringtie,  The lncRNA annotation is merged with the reference annotation to create a unified genome annotation containing both mRNAs and lncRNAs.
cat1, map_param_value, feelnc"			MIT	10.48546/workflowhub.workflow.1324.1	Intergalactic Workflow Commission (IWC), EuroScienceGateway	annot* in name	True
GIMP Image Annotator	WorkflowHub	1229	https:/workflowhub.eu/workflows/1229?version=1	Kieran Atkins		2024-12-13	2024-12-13	1	1	0				GPL-3.0	10.48546/workflowhub.workflow.1229.1	Into the deep	annot* in name	True
MC_COVID19like_Assembly_Reads	WorkflowHub	68	https:/workflowhub.eu/workflows/68?version=1		covid-19	2020-11-04	2023-02-13	1	1	7	bowtie2, unicycler, spades, fastp			Apache-2.0		Italy-Covid-data-Portal	metage* in description	True
Janis Germline Variant-Calling Workflow (GATK)	WorkflowHub	236	https:/workflowhub.eu/workflows/236?version=1	Richard Lupat		2021-11-12	2023-01-16	1	1	16	Performance summary workflow (whole genome), BGZip, Perform base quality score recalibration, GATK4: Gather VCFs, Generate genome for BedtoolsCoverage, Generating genomic intervals by chromosome, Parse FastQC Adaptors, Align and sort reads, UncompressArchive, GATK4 Germline Variant Caller, BCFTools: Sort, Annotate Bam Stats to Germline Vcf Workflow, FastQC, Merge and Mark Duplicates			Apache-2.0		Janis	metap* in description	True
gSpreadComp	WorkflowHub	1340	https:/workflowhub.eu/workflows/1340?version=3	Jonas Kasmanas	bioinformatics, genomics, antimicrobial resistance, microbiome	2025-04-20	2025-04-20	3	3	0			Bioinformatics, Comparative genomics, Data curation and archival, Microbiology	GPL-3.0	10.48546/workflowhub.workflow.1340.3	Kasmanas	microbiome in tags	True
RNA-SeqEZPZ: A Point-and-Click Pipeline for Comprehensive Transcriptomics Analysis with Interactive Visualizations	WorkflowHub	1813	https:/workflowhub.eu/workflows/1813?version=2	Cenny Taslim		2025-07-22	2025-07-23	2	2	0				CC-BY-NC-ND-4.0	10.48546/workflowhub.workflow.1813.2	Kendall-Theisen lab pipelines	annot* in description	True
RNA-SeqEZPZ-NF: Nextflow Pipeline for RNA-SeqEZPZ	WorkflowHub	1814	https:/workflowhub.eu/workflows/1814?version=2	Yuan Zhang, Cenny Taslim		2025-07-22	2025-07-23	2	2	0		RNA-Seq analysis	Bioinformatics	CC-BY-NC-ND-4.0	10.48546/workflowhub.workflow.1814.2	Kendall-Theisen lab pipelines	annot* in description	True
ReMM score	WorkflowHub	414	https:/workflowhub.eu/workflows/414?version=1	Max Schubach	remm, regulatory mendelian mutation score, snakemake, non-coding, pathogenicity score, variant pathogenicity prediction	2023-01-03	2023-01-16	1	1	0				MIT	10.48546/workflowhub.workflow.414.1	KircherLab	binn* in description	True
cfDNA-Flow	WorkflowHub	1900	https:/workflowhub.eu/workflows/1900?version=1	Ivna Ivankovic, Todor Gitchev, Zsolt Balázs	bioinformatics, cfdna	2025-09-02	2025-09-19	1	1	0			Bioinformatics	GPL-3.0	10.48546/workflowhub.workflow.1900.1	KrauthammerLab	binn* in description	True
MRanalysis: A Comprehensive Online Platform for Integrated,Multi-MethodMendelian Randomization and Associated Post-GWAS Analyses	WorkflowHub	1872	https:/workflowhub.eu/workflows/1872?version=1	Abao Xing		2025-08-17	2025-08-17	1	1	0				MIT	10.48546/workflowhub.workflow.1872.1	Li-Omics Lab	metap* in description	True
Multiomic ALS signatures highlight sex differences and molecular subclusters and identify the MAPK pathway as therapeutic target	WorkflowHub	1191	https:/workflowhub.eu/workflows/1191?version=1	Fabian Hausmann		2024-11-05	2024-11-11	1	1	0				MIT	10.48546/workflowhub.workflow.1191.1	MAXOMOD	ITS in description	True
BioSIFTR	WorkflowHub	1735	https:/workflowhub.eu/workflows/1735?version=1	Alejandra Escobar		2025-06-17	2025-06-17	1	1	0			Metagenomics	Apache-2.0	10.48546/workflowhub.workflow.1735.1	MGnify	edam	True
mettannotator	WorkflowHub	1069	https:/workflowhub.eu/workflows/1069?version=3	Tatiana Gurbich, Martin Beracochea	bioinformatics, metagenomics	2025-01-21	2025-01-21	3	3	0			Genomics, Metagenomics	Apache-2.0		MGnify	edam	True
MGnify - raw-reads analysis pipeline	WorkflowHub	362	https:/workflowhub.eu/workflows/362?version=1	Ekaterina Sakharova, Varsha Kale, Martin Beracochea	cwl, metagenomics, workflows	2022-06-07	2023-01-16	1	1	4				Apache-2.0	10.48546/workflowhub.workflow.362.1	MGnify	metage* in tags	True
MGnify raw reads taxonomic profiling pipeline	WorkflowHub	450	https:/workflowhub.eu/workflows/450?version=1	Ekaterina Sakharova, Martin Beracochea	metagenomics, nextflow	2023-03-30	2023-03-30	1	1	0	Biopython, Metagenomic operational taxonomic units (mOTUs), MAPseq, Infernal			Apache-2.0		MGnify	metage* in tags	True
VIRify	WorkflowHub	26	https:/workflowhub.eu/workflows/26?version=1	Martin Beracochea	covid-19	2020-06-08	2023-01-16	1	1	17	krona plots, ViPhOG annotations, Default lenght 1kb https://github.com/EBI-Metagenomics/emg-virify-scripts/issues/6, hmmscan, MashMap, PPR-Meta, Restore fasta names, Blast in a database of viral sequences including metagenomes, Prodigal, VirFinder, Filter contigs, Combine, ratio evalue ViPhOG, VirSorter, Taxonomic assign			Apache-2.0	10.48546/workflowhub.workflow.26.1	MGnify	metage* in description	True
MGnify - amplicon analysis pipeline	WorkflowHub	361	https:/workflowhub.eu/workflows/361?version=1	Alex L Mitchell,  Alexandre Almeida,  Martin Beracochea,  Miguel Boland,  Josephine Burgin,  Guy Cochrane,  Michael R Crusoe,  Varsha Kale,  Simon C Potter,  Lorna J Richardson,  Ekaterina Sakharova,  Maxim Scheremetjew,  Anton Korobeynikov,  Alex Shlemov,  Olga Kunyavskaya,  Alla Lapidus,  Robert D Finn	cwl, metagenomics, rna, workflow	2022-06-07	2023-01-16	1	1	3				Apache-2.0		MGnify	metage* in tags	True
MGnify genomes catalogue pipeline	WorkflowHub	462	https:/workflowhub.eu/workflows/462?version=3	Ekaterina Sakharova, Tatiana Gurbich, Martin Beracochea	bioinformatics, metagenomics, nextflow	2024-12-03	2024-12-03	3	3	0				Apache-2.0		MGnify	metage* in tags	True
nf-core/proteinfamilies	WorkflowHub	1954	https:/workflowhub.eu/workflows/1954?version=2	Evangelos Karatzas, Martin Beracochea	bioinformatics, proteomics, protein-families	2025-10-22	2025-10-22	2	2	0				MIT	10.48546/workflowhub.workflow.1954.2	MGnify	profil* in description	True
Mobilome Annotation Pipeline	WorkflowHub	452	https:/workflowhub.eu/workflows/452?version=2	Alejandra Escobar, Martin Beracochea	genomics, mge, metagenomics, mobilome, nextflow	2025-06-17	2025-06-17	2	2	0			Metagenomics, Mobile genetic elements	Apache-2.0		MGnify	edam	True
MGnify - assembly analysis pipeline	WorkflowHub	360	https:/workflowhub.eu/workflows/360?version=2	 Alex L Mitchell,  Alexandre Almeida,  Martin Beracochea,  Miguel Boland,  Josephine Burgin,  Guy Cochrane,  Michael R Crusoe,  Varsha Kale,  Simon C Potter,  Lorna J Richardson,  Ekaterina Sakharova,  Maxim Scheremetjew,  Anton Korobeynikov,  Alex Shlemov,  Olga Kunyavskaya,  Alla Lapidus,  Robert D Finn	annotation, cwl, metagenomics, workflow	2022-06-07	2023-04-28	2	2	4				Apache-2.0		MGnify, HoloFood at MGnify	metage* in tags	True
VIRify	WorkflowHub	27	https:/workflowhub.eu/workflows/27?version=1	Martin Beracochea	covid-19	2020-06-08	2023-03-24	1	1	0				Apache-2.0		MGnify, HoloFood at MGnify	metage* in description	True
Tango: Numerical reconciliation of bacterial fermentation in cheese production	WorkflowHub	873	https:/workflowhub.eu/workflows/873?version=1			2024-05-03	2024-05-03	1	1	6			Microbial ecology	GPL-3.0		MISTIC	metap* in description	True
MOLGENIS/VIP: Variant Interpretation Pipeline	WorkflowHub	125	https:/workflowhub.eu/workflows/125?version=1		annotation, bioinformatics, classification, genomics, java, nextflow, pipeline, report, snps, sv, vcf, workflows, variation	2021-06-21	2024-06-12	1	1	0			DNA mutation, DNA polymorphism, Genetic variation, Structural variation	LGPL-3.0		MOLGENIS	annot* in tags	True
WGS2Protein v3.0.0	WorkflowHub	1767	https:/workflowhub.eu/workflows/1767?version=1	Crist John M. Pastor		2025-06-30	2025-06-30	1	1	9	prokka, Grep1, fastqc, shovill, trimmomatic, fasta2tab	Feature extraction	Biochemistry, Data mining, Drug development, Drug discovery, Immunoinformatics, Immunology, Immunoproteins and antigens, Proteins	CC-BY-4.0		MTB Bioinformatics Workflows	annot* in description	True
